Citable Reference,Context Description,Title,Description,Start Date,Start Date (num),End Date,End Date (num),Covering Dates,Held by,Catalogue level,References,Opening Date,Closure Status,Closure Type,Closure Code,Subjects,Digitised,ID,Score
WO171/9211,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",5 Battalion Black Watch,5 Battalion Black Watch.,01/01/1946,19460101,28/02/1946,19460228,1946 Jan-Feb,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449317,88.5624847
WO171/9212,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",7 Battalion Black Watch,7 Battalion Black Watch.,01/01/1946,19460101,28/02/1946,19460228,1946 Jan-Feb,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449318,88.5624847
WO171/9210,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Battalion Black Watch,1 Battalion Black Watch.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449316,88.06633
WO171/595,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. BRIGADES. 5 Parachute Brigade.","H.Q. (Within 5 Parachute Brigade War Diaries, March 1944, are various diaries, proforma and field...","H.Q. (Within 5 Parachute Brigade War Diaries, March 1944, are various diaries, proforma and field returns for R.A.M.C unit and 103 AA Brigade spanning Feb and Mar 1944).",01/01/1944,19440101,31/12/1944,19441231,1944 Jan.-Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4440704,87.87364
WO171/9298,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.","1st Battalion York and Lancaster Regiment (1 Y, and L)","1st Battalion York and Lancaster Regiment (1 Y, and L).",01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449404,87.43997
WO171/9199,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1st Battalion Grenadier Guards,1st Battalion Grenadier Guards.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449305,85.75344
WO171/9200,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1st Battalion Grenadier Guards,1st Battalion Grenadier Guards.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449306,85.48712
WO171/9198,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1st Battalion Grenadier Guards,1st Battalion Grenadier Guards.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449304,85.28793
WO171/1250,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",1 Coldstream Guards (Armoured Battalion),1 Coldstream Guards (Armoured Battalion).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441359,80.1896057
WO171/1255,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",4 Grenadier Guards (Tank Battalion),4 Grenadier Guards (Tank Battalion).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441364,80.1896057
WO171/1251,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",4 Coldstream. Guards (Tank Battalion),4 Coldstream. Guards (Tank Battalion).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441360,79.63623
WO171/1256,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",2 Irish Guards (Armoured Battalion),2 Irish Guards (Armoured Battalion).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441365,79.50782
WO171/1258,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",3 Scots Guards (Tank Battalion),3 Scots Guards (Tank Battalion).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441367,79.01543
WO171/5163,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry),1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry).,01/10/1945,19451001,31/12/1945,19451231,1945 Oct.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445270,78.51611
WO171/5162,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry),1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry).,01/08/1945,19450801,31/08/1945,19450831,"1945 Aug., Sept.","The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445269,78.32519
WO171/5161,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry),1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry).,01/01/1945,19450101,31/07/1945,19450731,1945 Jan.- July,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445268,78.32519
WO171/9213,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Border. Also includes 1 Buckinghamshire Battalion for June 1946,1 Border. Also includes 1 Buckinghamshire Battalion for June 1946.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan - June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4449319,74.3318939
WO171/1269,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry),1 Buckinghamshire Battalion (Oxfordshire and Buckinghamshire Light Infantry).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441378,72.47429
WO171/1335,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",4 Lincolnshire Regiment,"4 Lincolnshire Regiment.
Note: Contains commanding officer's confidential book: 'A record of distinguished acts or services rendered by any officer or O.R. in the Battalion,' 1943 - 1945",01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441444,47.4488945
WO171/871,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARMOURED CORPS.",21 Training Regiment Royal Tank Regiment,21 Training Regiment Royal Tank Regiment.,01/09/1944,19440901,31/12/1944,19441231,1944 Sept.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4440980,45.9878273
WO171/5039,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",107 Regiment.,107 Regiment.,01/04/1945,19450401,31/12/1945,19451231,1945 Apr.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445146,44.1971359
WO171/5024,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",61 Regiment.,61 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445131,44.1971359
WO171/5028,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",65 Regiment.,65 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445135,44.1971359
WO171/5029,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",67 Regiment.,67 Regiment.,01/01/1945,19450101,31/03/1945,19450331,1945 Jan.- Mar.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445136,44.1971359
WO171/5041,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",146 Regiment.,146 Regiment.,01/01/1945,19450101,31/03/1945,19450331,1945 Jan.- Mar.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445148,43.9165726
WO171/5034,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",77 Regiment.,77 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445141,43.9165726
WO171/5035,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",79 Regiment.,79 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445142,43.9165726
WO171/1017,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Air Landing Regiments and Batteries.",53 Regiment,53 Regiment.,01/06/1944,19440601,31/12/1944,19441231,1944 June- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441126,43.2288857
WO171/5038,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",107 Regiment.,107 Regiment.,01/01/1945,19450101,31/03/1945,19450331,1945 Jan.- Mar.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445145,43.2288857
WO171/5042,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",146 Regiment.,146 Regiment.,01/04/1945,19450401,31/12/1945,19451231,1945 Apr.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445149,43.2288857
WO171/5040,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",121 Regiment.,121 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445147,43.2288857
WO171/5025,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",63 Regiment.,63 Regiment.,01/01/1945,19450101,30/06/1945,19450630,1945 Jan.- June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445132,43.2288857
WO171/5027,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",64 Regiment.,64 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445134,43.2288857
WO171/5032,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",69 Regiment.,69 Regiment.,01/09/1945,19450901,31/12/1945,19451231,1945 Sept.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445139,43.2288857
WO171/5030,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",68 Regiment.,68 Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445137,43.2288857
WO171/5037,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. ROYAL ARTILLERY. Medium Regiments.",84 Regiment.,84 Regiment.,01/05/1945,19450501,31/12/1945,19451231,1945 May - Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445144,43.2288857
WO171/1284,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",1 Dorsetshire Regiment,1 Dorsetshire Regiment.,01/01/1944,19440101,31/07/1944,19440731,1944 Jan.- July,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441393,42.80032
WO171/1306,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",7 Hampshire Regiment,7 Hampshire Regiment.,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441415,42.80032
WO171/5169,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Cheshire Regiment,1 Cheshire Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445276,42.80032
WO171/5228,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Leicestershire Regiment,1 Leicestershire Regiment.,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.-Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445335,42.80032
WO171/5174,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",4 Dorsetshire Regiment,4 Dorsetshire Regiment.,01/01/1945,19450101,30/11/1945,19451130,1945 Jan.- Nov.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445281,42.80032
WO171/1308,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",2 Hertfordshire Regiment,2 Hertfordshire Regiment.,01/01/1944,19440101,31/08/1944,19440831,1944 Jan.- Aug.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441417,42.80032
